Gene	GO
Zm00001d029833	GO:0005515
Zm00001d018450	GO:0005515
Zm00001d029272	GO:0005515
Zm00001d013824	GO:0005515
Zm00001d007548	GO:0005515
Zm00001d037935	GO:0005515
Zm00001d018291	GO:0005515
Zm00001d022312	GO:0005515
Zm00001d043903	GO:0005515
Zm00001d033217	GO:0005515
Zm00001d046447	GO:0005515
Zm00001d039189	GO:0005515
Zm00001d025112	GO:0005515
Zm00001d017532	GO:0005515
Zm00001d018460	GO:0005515
Zm00001d045319	GO:0005515
Zm00001d022514	GO:0005515
Zm00001d005301	GO:0005515
Zm00001d012661	GO:0005515
Zm00001d045760	GO:0005515
Zm00001d053761	GO:0005515
Zm00001d052468	GO:0005515
Zm00001d014053	GO:0005515
Zm00001d004723	GO:0005515
Zm00001d037635	GO:0005515
Zm00001d015055	GO:0005515
Zm00001d051913	GO:0005515
Zm00001d047937	GO:0005515
Zm00001d017756	GO:0005515
Zm00001d018705	GO:0005515
Zm00001d012336	GO:0005515
Zm00001d002658	GO:0005515
Zm00001d051864	GO:0005515
Zm00001d023840	GO:0005515
Zm00001d007367	GO:0005515
Zm00001d018995	GO:0005515
Zm00001d014925	GO:0005515
Zm00001d033992	GO:0005515
Zm00001d027809	GO:0005515
Zm00001d026592	GO:0005515
Zm00001d015676	GO:0005515
Zm00001d047979	GO:0005515
Zm00001d012241	GO:0005515
Zm00001d045586	GO:0005515
Zm00001d019185	GO:0005515
Zm00001d001978	GO:0005515
Zm00001d026270	GO:0005515
Zm00001d002314	GO:0005515
Zm00001d020821	GO:0005515
Zm00001d012612	GO:0005515
Zm00001d049638	GO:0005515
Zm00001d038784	GO:0005515
Zm00001d020103	GO:0005515
Zm00001d049608	GO:0005515
Zm00001d040153	GO:0005515
Zm00001d038838	GO:0005515
Zm00001d038427	GO:0005515
Zm00001d003235	GO:0005515
Zm00001d045837	GO:0005515
Zm00001d016473	GO:0005515
Zm00001d037604	GO:0005515
Zm00001d044907	GO:0005515
Zm00001d037833	GO:0005515
Zm00001d045829	GO:0005515
Zm00001d028225	GO:0005515
Zm00001d033158	GO:0005515
Zm00001d036004	GO:0005515
Zm00001d031470	GO:0005515
Zm00001d024313	GO:0005515
Zm00001d048888	GO:0005515
Zm00001d013276	GO:0005515
Zm00001d046540	GO:0005515
Zm00001d033321	GO:0005515
Zm00001d037420	GO:0005515
Zm00001d019061	GO:0005515
Zm00001d026691	GO:0005515
Zm00001d035752	GO:0005515
Zm00001d005478	GO:0005515
Zm00001d041715	GO:0005515
Zm00001d028957	GO:0005515
Zm00001d007793	GO:0005515
Zm00001d002681	GO:0005515
Zm00001d018668	GO:0005515
Zm00001d017607	GO:0005515
Zm00001d016259	GO:0005515
Zm00001d047053	GO:0005515
Zm00001d010644	GO:0005515
Zm00001d008371	GO:0005515
Zm00001d045433	GO:0005515
Zm00001d032470	GO:0005515
Zm00001d015770	GO:0005515
Zm00001d039576	GO:0005515
Zm00001d048332	GO:0005515
Zm00001d046530	GO:0005515
Zm00001d051644	GO:0005515
Zm00001d002737	GO:0005515
Zm00001d021221	GO:0005515
Zm00001d052271	GO:0005515
Zm00001d009613	GO:0005515
Zm00001d012121	GO:0005515
Zm00001d021886	GO:0005515
Zm00001d032707	GO:0005515
Zm00001d035270	GO:0005515
Zm00001d038769	GO:0005515
Zm00001d001861	GO:0005515
Zm00001d037122	GO:0005515
Zm00001d021987	GO:0005515
Zm00001d009837	GO:0005515
Zm00001d011821	GO:0005515
Zm00001d043913	GO:0005515
Zm00001d042605	GO:0005515
Zm00001d017798	GO:0005515
Zm00001d014977	GO:0005515
Zm00001d017046	GO:0005515
Zm00001d019907	GO:0005515
Zm00001d040107	GO:0005515
Zm00001d045482	GO:0005515
Zm00001d007205	GO:0005515
