Gene.Model.ID	Gene.Symbol	Full.Name	Source	Chromosome	Start	End
AC148152.3_FG005	bx13	benzoxazinone synthesis13	"Handrick et al., 2016"	Chr2	"231,952,642"	"231,954,277"
AC149475.2_FG005	jmj20	JUMONJI-transcription factor 20	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr9	"152,791,245"	"152,801,912"
AC149475.2_FG007	hagtf38	GNAT-transcription factor 38	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr9	"152,822,528"	"152,823,205"
AC149818.2_FG009	rtcl1	RTCS-like1	based on sequence homology to rtcs1	Chr9	"152,747,407"	"152,748,234"
AC149829.2_FG004	bhlh97	bHLH-transcription factor 97	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr9	"151,395,822"	"151,396,321"
AC152495.1_FG002	rp1	resistance to Puccinia sorghi1	Classical Gene	Chr10	"3,283,523"	"3,287,419"
AC155377.1_FG001	myo1	myosin1	from: AF104924	Chr3	"220,967,145"	"220,986,200"
AC155434.2_FG005	glk59	G2-like-transcription factor 59	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr7	"173,860,841"	"173,863,018"
AC155434.2_FG006	dof47	C2C2-Dof-transcription factor 1	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr7	"173,848,308"	"173,849,744"
AC165171.2_FG002	wrky120	WRKY-transcription factor 120	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr3	"144,777,899"	"144,779,302"
AC165178.2_FG004	myb35	MYB-transcription factor 35	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr2	"182,073,111"	"182,074,488"
AC177924.2_FG001	bhlh4	bHLH-transcription factor 4	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr2	"71,347,459"	"71,352,265"
AC184831.3_FG005	gata22	C2C2-GATA-transcription factor 22	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr4	"239,028,639"	"239,029,484"
AC184831.3_FG008	gata36	C2C2-GATA-transcription factor 36	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr4	"239,100,691"	"239,101,536"
AC185226.4_FG001	tola1	tola protein homolog1	from: T15269 (chr hit)	Chr4	"162,608,157"	"162,617,862"
AC185464.3_FG003	umc1524		v3 low confidence	Chr5	"197,358,622"	"197,358,816"
AC185478.4_FG005	mmp3			Chr4	"181,432,210"	"181,432,974"
AC186524.3_FG005	hmg101	HMG-transcription factor 101	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"180,986,274"	"180,988,780"
AC186606.4_FG003	bzip126	bZIP-transcription factor 126	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"182,653,546"	"182,654,452"
AC187157.4_FG001	ereb186	AP2-EREBP-transcription factor 186	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr8	"22,690,444"	"22,691,545"
AC187157.4_FG005	hb52	Homeobox-transcription factor 52	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr8	"22,645,969"	"22,650,386"
AC187262.4_FG007	umc1811			Chr1	"184,732,930"	"184,733,551"
AC187891.3_FG006	ofp39	OVATE-transcription factor 39	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr10	"6,406,678"	"6,407,469"
AC189750.4_FG004	aprl1	adenosine 5'-phosphosulfate reductase-like1	from: AY739296	Chr7	"152,388,543"	"152,391,232"
AC189879.3_FG003	ago101	argonaute101	from: BT069919	Chr9	"87,408,375"	"87,414,276"
AC190609.3_FG001	bzip81	bZIP-transcription factor 81	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr4	"194,461,406"	"194,464,593"
AC190734.2_FG003	tcptf6	TCP-transcription factor 6	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr5	"11,858,801"	"11,859,880"
AC191109.3_FG001	cle14	clavata3/esr-related14	"Je et al., 2016"	Chr2	"228,749,730"	"228,750,254"
AC191534.3_FG003	vim104	variant in methylation104	"Li et al., 2014"	Chr7	"27,685,032"	"27,687,705"
AC193630.3_FG003	wrky39	WRKY-transcription factor 39	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr9	"19,940,858"	"19,942,697"
AC193767.3_FG003	abi10	ABI3-VP1-transcription factor 10	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr10	"148,761,047"	"148,762,234"
AC193786.3_FG005	bhlh54	bHLH-transcription factor 54	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr8	"157,462,749"	"157,463,805"
AC194022.3_FG013	umc1970			Chr3	"2,782,926"	"2,783,195"
AC194341.4_FG003	sun5	SUN domain protein5	by alignment on RefGen_V2 (M Schaeffer Apr 2011)	Chr8	"140,924,162"	"140,926,362"
AC194341.4_FG003	sun5	SUN domain protein5	Classical Gene	Chr8	"140,924,162"	"140,926,362"
AC194362.3_FG003	wrky5	WRKY-transcription factor 5	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr3	"232,080,384"	"232,081,786"
